transaction_id,merchant_id,user_id,card_number,transaction_date,transaction_amount,device_id,has_cbk
21323187,46837,97192,550209******8977,2019-11-11T16:34:44.340293,208.76,,FALSE
21323188,7594,54335,498407******4530,2019-11-11T16:26:55.757669,1004.89,,FALSE
21323189,36929,49106,651660******3628,2019-11-11T16:22:55.617237,4043.43,,FALSE
21323190,36929,49106,651660******3628,2019-11-11T16:22:19.646575,4031.43,,FALSE
21323191,67675,4904,534503******4180,2019-11-11T16:10:50.945142,674.18,,FALSE
21323192,36929,49106,651660******3628,2019-11-11T16:01:07.627302,4024.23,,FALSE
21323193,3194,27038,535863******1548,2019-11-11T15:59:58.430243,356.81,,FALSE
21323194,91677,276,530780******6520,2019-11-11T15:53:21.076379,1118.56,,FALSE
21323195,36929,49106,651660******3628,2019-11-11T15:50:26.701473,3921.55,,FALSE
21323196,14322,34556,523421******8624,2019-11-11T15:32:37.328708,179.56,,FALSE
21323197,26981,1703,525631******6430,2019-11-11T14:59:03.715715,163.67,,FALSE
21323198,50584,84498,406655******3209,2019-11-11T14:25:14.755043,3879.50,,FALSE
21323199,62052,88686,544731******6319,2019-11-11T14:14:23.803761,1098.86,,FALSE
21323200,79698,20797,482425******9109,2019-11-11T13:59:53.889045,511.42,,FALSE
21323201,95499,98942,550209******1700,2019-11-11T13:28:17.015257,442.06,,FALSE
21323202,99333,42789,606282******8779,2019-11-11T13:18:12.627639,211.12,,FALSE
21323203,60121,80777,516292******1037,2019-11-11T13:10:43.931488,1015.98,,FALSE
21323204,58691,83832,230650******7136,2019-11-11T12:41:21.541922,119.90,,FALSE
21323205,69392,51937,523421******7403,2019-11-11T10:55:31.627989,1224.28,,FALSE
21323206,32186,23577,544731******5751,2019-11-11T02:55:16.670021,2571.24,,FALSE
21323207,90035,5331,425850******2884,2019-11-11T02:38:46.829973,10.38,,FALSE
21323208,42668,75575,476333******3122,2019-11-11T00:56:26.088185,141.56,,FALSE
21323209,12063,68656,515590******6498,2019-11-11T00:23:33.031675,518.58,,FALSE
21323210,20465,79383,516292******7893,2019-11-11T00:20:50.964967,244.59,,FALSE
21323211,3115,28046,530994******9902,2019-11-11T00:00:03.549075,902.88,,FALSE
21323212,43078,2866,535081******3568,2019-11-10T23:42:41.103589,165.82,,FALSE
21323213,43078,2866,544891******9036,2019-11-10T23:36:22.541413,168.38,,FALSE
21323214,96610,9271,410863******1761,2019-11-10T23:20:29.926307,213.71,,FALSE
21323215,25373,20554,532930******6137,2019-11-10T22:12:30.384049,1447.20,,FALSE
21323216,49919,27657,490172******7226,2019-11-10T22:08:28.223274,3802.69,,TRUE
21323217,43078,98123,544731******9730,2019-11-10T21:48:14.451810,78.71,,FALSE
21323218,39705,58152,550209******8340,2019-11-10T21:45:03.258195,1062.33,,FALSE
21323219,36929,92926,523284******1284,2019-11-10T21:11:49.087007,5.43,,FALSE
21323220,31659,42856,514087******1028,2019-11-10T19:52:55.536019,143.93,,FALSE
21323221,49919,70457,515590******8323,2019-11-10T19:47:06.354966,3942.48,,TRUE
21323222,29931,33570,422053******6051,2019-11-10T19:31:28.814512,303.38,,FALSE
21323223,62966,277,530034******8005,2019-11-10T19:14:39.747962,2402.74,,FALSE
21323224,95499,70760,530780******1539,2019-11-10T19:08:37.156901,145.69,,FALSE
21323225,79698,50380,400437******4162,2019-11-10T18:48:28.130917,164.94,,FALSE
21323226,59248,13345,515590******2377,2019-11-10T18:40:24.671120,45.55,,FALSE
21323227,49205,62392,498407******1624,2019-11-10T18:18:01.369282,630.60,,FALSE
21323228,17763,5768,410424******3439,2019-11-10T18:11:49.943200,469.33,,FALSE
21323229,9456,95797,434995******430,2019-11-10T17:59:16.947207,90.36,,FALSE
21323230,91972,13793,476331******1570,2019-11-10T17:51:38.541924,3958.51,,TRUE
21323231,15576,21035,550209******8904,2019-11-10T17:44:17.985389,622.96,,FALSE
21323232,32763,96719,453211******3512,2019-11-10T17:24:02.575286,1643.24,,FALSE
21323233,80964,11075,498431******7545,2019-11-10T17:19:51.024655,1825.43,,FALSE
21323234,76725,97202,550209******4540,2019-11-10T17:11:07.836490,186.66,,FALSE
21323235,17163,71077,404024******1170,2019-11-10T17:06:55.290240,335.81,,FALSE
